Product Number,Week, Processing Time ,Cost
GLIDEN-184TL,9, 0.15 ,$3.07
GLIDEN PRO-186L,9, 0.57 ,$2.54
KILZ PRO-192LT,9, 0.05 ,$1.44
KILZ AERO-206TL,9, 0.51 ,$3.55
GLIDEN PRO + SEALER-207TL,9, 0.34 ,$1.94
KILZ PREMIUM-234TL,9, 0.62 ,$3.09
BEHR-258TL,9, 0.33 ,$1.20
BEHR PRO-268TL,9, 0.57 ,$2.73
BEHR AERO-269LC,9, 0.63 ,$2.24
BEHR PRO + SEALER-327TL,9, 0.58 ,$3.52
ZINSSER PRO-69TL,9, 0.17 ,$4.86
ZINSSER SEALER-82C,9, 0.26 ,$3.52
ZINSSER PREMIUM-86L,9, 0.18 ,$4.59
GILDEN PREMIUM-86LTORG,9, 0.90 ,$1.85
KILZ-86TL,9, 0.59 ,$2.99
KILZ2-B115,9, 0.22 ,$4.65
ZINSSER-B126F,9, 0.57 ,$2.52
GLIDEN-B127,9, 0.36 ,$5.33
GLIDEN PRO-B128,9, 0.88 ,$6.60
KILZ PRO-B129,9, 0.61 ,$3.80
KILZ AERO-B131,9, 0.04 ,$3.40
GLIDEN PRO + SEALER-B29,9, 0.48 ,$2.63
KILZ PREMIUM-B37,9, 0.17 ,$3.06
BEHR-B39,9, 0.40 ,$4.44
BEHR PRO-B40,9, 0.18 ,$6.32
BEHR AERO-B41,9, 0.16 ,$3.41
BEHR PRO + SEALER-B42,9, 0.60 ,$1.26
ZINSSER PRO-B53,9, 0.46 ,$6.22
ZINSSER SEALER-B54,9, 0.31 ,$6.42
ZINSSER PREMIUM-B61,9, 0.15 ,$2.20
GILDEN PREMIUM-B64,9, 0.05 ,$2.45
KILZ-B65,9, 0.26 ,$4.68
KILZ2-B66,9, 0.41 ,$2.87
ZINSSER-B67,9, 0.50 ,$5.37
GLIDEN-B69,9, 0.72 ,$4.34
GLIDEN PRO-B70,9, 0.18 ,$4.73
KILZ PRO-B72,9, 0.04 ,$4.66
KILZ AERO-B74,9, 0.87 ,$2.84
GLIDEN PRO + SEALER-B76,9, 0.45 ,$1.04
KILZ PREMIUM-B79,9, 0.14 ,$5.03
BEHR-B80N,9, 0.05 ,$2.61
BEHR PRO-B81,9, 0.15 ,$4.42
BEHR AERO-B82,9, 0.71 ,$5.44
BEHR PRO + SEALER-B86HD,9, 0.49 ,$3.76
ZINSSER PRO-B86HY,9, 0.19 ,$2.05
KILZ-163TL,8, 0.10 ,$1.06
KILZ2-166TL,8, 0.36 ,$5.87
ZINSSER-182TLD,8, 0.67 ,$4.40
GLIDEN-184TL,8, 0.88 ,$7.44
GLIDEN PRO-186L,8, 0.63 ,$1.25
KILZ PRO-192LT,8, 0.18 ,$3.66
KILZ AERO-206TL,8, 0.19 ,$2.39
GLIDEN PRO + SEALER-207TL,8, 0.39 ,$6.34
KILZ PREMIUM-234TL,8, 0.29 ,$2.58
BEHR-258TL,8, 0.12 ,$6.44
BEHR PRO-268TL,8, 0.54 ,$3.55
BEHR AERO-269LC,8, 0.01 ,$3.16
BEHR PRO + SEALER-327TL,8, 0.24 ,$7.86
ZINSSER PRO-69TL,8, 0.33 ,$6.54
ZINSSER SEALER-82C,8, 0.80 ,$1.68
ZINSSER PREMIUM-86L,8, 0.13 ,$4.88
GILDEN PREMIUM-86LTORG,8, 0.08 ,$3.21
KILZ-86TL,8, 0.48 ,$4.74
KILZ2-B115,8, 0.37 ,$2.38
ZINSSER-B126F,8, 0.09 ,$4.86
GLIDEN-B127,8, 0.77 ,$6.18
GLIDEN PRO-B128,8, 0.18 ,$4.58
KILZ PRO-B129,8, 0.32 ,$4.28
KILZ AERO-B131,8, 0.19 ,$3.85
GLIDEN PRO + SEALER-B29,8, 0.20 ,$1.41
KILZ PREMIUM-B37,8, 0.23 ,$1.28
BEHR-B39,8, 0.73 ,$1.30
BEHR PRO-B40,8, 0.88 ,$3.75
BEHR AERO-B41,8, 0.78 ,$1.42
BEHR PRO + SEALER-B42,8, 0.83 ,$1.48
ZINSSER PRO-B53,8, 0.33 ,$1.11
ZINSSER SEALER-B54,8, 0.50 ,$6.08
ZINSSER PREMIUM-B61,8, 0.19 ,$3.58
GILDEN PREMIUM-B64,8, 0.49 ,$2.59
KILZ-B65,8, 0.40 ,$2.00
KILZ2-B66,8, 0.74 ,$4.50
ZINSSER-B67,8, 0.58 ,$2.59
GLIDEN-B69,8, 0.19 ,$1.86
GLIDEN PRO-B70,8, 0.35 ,$4.81
KILZ PRO-B72,8, 0.49 ,$2.98
KILZ AERO-B74,8, 0.01 ,$4.70
GLIDEN PRO + SEALER-B76,8, 0.14 ,$4.69
KILZ PREMIUM-B79,8, 0.73 ,$1.45
BEHR-B80N,8, 0.13 ,$1.89
BEHR PRO-B81,8, 0.87 ,$2.33
BEHR AERO-B82,8, 0.60 ,$5.42
BEHR PRO + SEALER-B86HD,8, 0.12 ,$4.58
ZINSSER PRO-B86HY,8, 0.38 ,$3.63
KILZ-163TL,7, 0.41 ,$4.20
KILZ2-166TL,7, 0.11 ,$4.10
ZINSSER-182TLD,7, 0.46 ,$1.72
GLIDEN-184TL,7, 0.51 ,$5.54
GLIDEN PRO-186L,7, 0.79 ,$1.71
KILZ PRO-192LT,7, 0.89 ,$5.16
KILZ AERO-206TL,7, 0.07 ,$3.21
GLIDEN PRO + SEALER-207TL,7, 0.32 ,$3.47
KILZ PREMIUM-234TL,7, 0.40 ,$3.87
BEHR-258TL,7, 0.16 ,$3.91
BEHR PRO-268TL,7, 0.69 ,$1.13
BEHR AERO-269LC,7, 0.31 ,$4.07
BEHR PRO + SEALER-327TL,7, 0.66 ,$3.35
ZINSSER PRO-69TL,7, 0.52 ,$3.01
ZINSSER SEALER-82C,7, 0.61 ,$3.44
ZINSSER PREMIUM-86L,7, 0.82 ,$6.10
GILDEN PREMIUM-86LTORG,7, 0.27 ,$3.29
KILZ-86TL,7, 0.36 ,$2.56
KILZ2-B115,7, 0.90 ,$4.67
ZINSSER-B126F,7, 0.75 ,$1.44
GLIDEN-B127,7, 0.57 ,$5.79
GLIDEN PRO-B128,7, 0.39 ,$1.25
KILZ PRO-B129,7, 0.16 ,$3.82
KILZ AERO-B131,7, 0.63 ,$2.08
GLIDEN PRO + SEALER-B29,7, 0.21 ,$2.18
KILZ PREMIUM-B37,7, 0.85 ,$2.43
BEHR-B39,7, 0.16 ,$5.06
BEHR PRO-B40,7, 0.17 ,$7.04
BEHR AERO-B41,7, 0.31 ,$1.31
BEHR PRO + SEALER-B42,7, -   ,$4.99
ZINSSER PRO-B53,7, 0.85 ,$6.51
ZINSSER SEALER-B54,7, 0.58 ,$1.17
ZINSSER PREMIUM-B61,7, 0.82 ,$1.01
GILDEN PREMIUM-B64,7, 0.78 ,$2.90
KILZ-B65,7, 0.30 ,$2.89
KILZ2-B66,7, 0.21 ,$3.30
ZINSSER-B67,7, 0.19 ,$2.70
GLIDEN-B69,7, 0.26 ,$1.36
GLIDEN PRO-B70,7, 0.89 ,$3.49
KILZ PRO-B72,7, 0.59 ,$3.13
KILZ AERO-B74,7, 0.20 ,$1.66
GLIDEN PRO + SEALER-B76,7, 0.57 ,$3.13
KILZ PREMIUM-B79,7, 0.02 ,$4.71
BEHR-B80N,7, 0.87 ,$7.46
BEHR PRO-B81,7, 0.15 ,$2.87
BEHR AERO-B82,7, 0.73 ,$2.33
BEHR PRO + SEALER-B86HD,7, 0.70 ,$5.48
ZINSSER PRO-B86HY,7, 0.01 ,$3.28
KILZ-163TL,6, 0.15 ,$2.94
KILZ2-166TL,6, 0.62 ,$4.18
ZINSSER-182TLD,6, 0.19 ,$2.71
GLIDEN-184TL,6, 0.34 ,$4.38
GLIDEN PRO-186L,6, 0.37 ,$5.82
KILZ PRO-192LT,6, 0.69 ,$3.69
KILZ AERO-206TL,6, 0.36 ,$2.71
GLIDEN PRO + SEALER-207TL,6, 0.58 ,$3.63
KILZ PREMIUM-234TL,6, 0.18 ,$4.84
BEHR-258TL,6, 0.24 ,$5.39
BEHR PRO-268TL,6, 0.86 ,$4.28
BEHR AERO-269LC,6, 0.41 ,$1.80
BEHR PRO + SEALER-327TL,6, 0.66 ,$1.49
ZINSSER PRO-69TL,6, 0.14 ,$4.56
ZINSSER SEALER-82C,6, 0.32 ,$6.66
ZINSSER PREMIUM-86L,6, 0.35 ,$3.88
GILDEN PREMIUM-86LTORG,6, 0.57 ,$3.01
KILZ-86TL,6, 0.08 ,$3.93
KILZ2-B115,6, 0.36 ,$4.80
ZINSSER-B126F,6, 0.13 ,$4.71
GLIDEN-B127,6, 0.08 ,$5.17
GLIDEN PRO-B128,6, 0.88 ,$4.22
KILZ PRO-B129,6, 0.52 ,$1.71
KILZ AERO-B131,6, 0.21 ,$1.40
GLIDEN PRO + SEALER-B29,6, 0.81 ,$1.92
KILZ PREMIUM-B37,6, 0.89 ,$4.57
BEHR-B39,6, 0.57 ,$3.57
BEHR PRO-B40,6, 0.30 ,$7.02
BEHR AERO-B41,6, 0.84 ,$2.90
BEHR PRO + SEALER-B42,6, 0.33 ,$2.92
ZINSSER PRO-B53,6, 0.59 ,$4.22
ZINSSER SEALER-B54,6, 0.26 ,$7.59
ZINSSER PREMIUM-B61,6, 0.27 ,$2.73
GILDEN PREMIUM-B64,6, 0.16 ,$3.57
KILZ-B65,6, 0.75 ,$1.76
KILZ2-B66,6, 0.82 ,$2.16
ZINSSER-B67,6, 0.36 ,$7.03
GLIDEN-B69,6, 0.20 ,$3.13
GLIDEN PRO-B70,6, 0.14 ,$5.47
KILZ PRO-B72,6, 0.18 ,$2.88
KILZ AERO-B74,6, 0.84 ,$1.84
GLIDEN PRO + SEALER-B76,6, 0.86 ,$1.76
KILZ PREMIUM-B79,6, 0.16 ,$2.59
BEHR-B80N,6, 0.53 ,$6.52
BEHR PRO-B81,6, 0.31 ,$1.81
BEHR AERO-B82,6, 0.42 ,$3.18
BEHR PRO + SEALER-B86HD,6, 0.74 ,$1.65
ZINSSER PRO-B86HY,6, 0.69 ,$3.01
KILZ-163TL,5, 0.81 ,$4.72
KILZ2-166TL,5, 0.82 ,$6.51
ZINSSER-182TLD,5, 0.22 ,$4.87
GLIDEN-184TL,5, 0.75 ,$5.32
GLIDEN PRO-186L,5, 0.62 ,$2.01
KILZ PRO-192LT,5, 0.70 ,$2.12
KILZ AERO-206TL,5, 0.18 ,$4.79
GLIDEN PRO + SEALER-207TL,5, 0.28 ,$6.39
KILZ PREMIUM-234TL,5, 0.76 ,$1.80
BEHR-258TL,5, 0.40 ,$4.64
BEHR PRO-268TL,5, 0.13 ,$4.75
BEHR AERO-269LC,5, 0.17 ,$4.47
BEHR PRO + SEALER-327TL,5, 0.41 ,$5.32
ZINSSER PRO-69TL,5, 0.65 ,$4.05
ZINSSER SEALER-82C,5, 0.70 ,$2.76
ZINSSER PREMIUM-86L,5, 0.34 ,$2.46
GILDEN PREMIUM-86LTORG,5, 0.73 ,$1.56
KILZ-86TL,5, 0.75 ,$3.70
KILZ2-B115,5, 0.14 ,$3.66
ZINSSER-B126F,5, 0.16 ,$3.52
GLIDEN-B127,5, 0.06 ,$1.42
GLIDEN PRO-B128,5, 0.01 ,$5.47
KILZ PRO-B129,5, 0.64 ,$3.06
KILZ AERO-B131,5, 0.49 ,$5.61
GLIDEN PRO + SEALER-B29,5, 0.30 ,$3.52
KILZ PREMIUM-B37,5, 0.86 ,$4.16
BEHR-B39,5, 0.22 ,$3.93
BEHR PRO-B40,5, 0.61 ,$1.70
BEHR AERO-B41,5, 0.44 ,$1.57
BEHR PRO + SEALER-B42,5, 0.36 ,$5.81
ZINSSER PRO-B53,5, 0.54 ,$5.67
ZINSSER SEALER-B54,5, 0.18 ,$1.74
ZINSSER PREMIUM-B61,5, 0.26 ,$1.52
GILDEN PREMIUM-B64,5, 0.81 ,$3.92
KILZ-B65,5, 0.71 ,$2.47
KILZ2-B66,5, 0.69 ,$5.49
ZINSSER-B67,5, 0.28 ,$6.86
GLIDEN-B69,5, 0.53 ,$1.75
GLIDEN PRO-B70,5, 0.62 ,$5.48
KILZ PRO-B72,5, 0.66 ,$2.28
KILZ AERO-B74,5, 0.37 ,$2.12
GLIDEN PRO + SEALER-B76,5, 0.19 ,$1.18
KILZ PREMIUM-B79,5, 0.26 ,$5.34
BEHR-B80N,5, 0.21 ,$3.57
BEHR PRO-B81,5, 0.54 ,$3.82
BEHR AERO-B82,5, 0.54 ,$4.56
BEHR PRO + SEALER-B86HD,5, 0.03 ,$5.80
ZINSSER PRO-B86HY,5, 0.55 ,$4.49
KILZ-163TL,4, 0.19 ,$1.17
KILZ2-166TL,4, 0.17 ,$2.01
ZINSSER-182TLD,4, 0.14 ,$1.33
GLIDEN-184TL,4, 0.18 ,$2.42
GLIDEN PRO-186L,4, 0.15 ,$3.80
KILZ PRO-192LT,4, 0.01 ,$5.38
KILZ AERO-206TL,4, 0.70 ,$1.36
GLIDEN PRO + SEALER-207TL,4, 0.37 ,$3.76
KILZ PREMIUM-234TL,4, 0.31 ,$1.56
BEHR-258TL,4, 0.19 ,$6.19
BEHR PRO-268TL,4, 0.04 ,$2.43
BEHR AERO-269LC,4, 0.32 ,$1.03
BEHR PRO + SEALER-327TL,4, 0.73 ,$5.31
ZINSSER PRO-69TL,4, 0.50 ,$3.87
ZINSSER SEALER-82C,4, 0.17 ,$6.91
ZINSSER PREMIUM-86L,4, 0.60 ,$6.66
GILDEN PREMIUM-86LTORG,4, 0.08 ,$2.61
KILZ-86TL,4, 0.11 ,$1.05
KILZ2-B115,4, 0.78 ,$3.40
ZINSSER-B126F,4, 0.63 ,$4.94
GLIDEN-B127,4, 0.05 ,$2.39
GLIDEN PRO-B128,4, 0.44 ,$2.55
KILZ PRO-B129,4, 0.08 ,$4.05
KILZ AERO-B131,4, 0.88 ,$3.00
GLIDEN PRO + SEALER-B29,4, 0.21 ,$2.37
KILZ PREMIUM-B37,4, 0.34 ,$1.43
BEHR-B39,4, 0.82 ,$1.31
BEHR PRO-B40,4, 0.21 ,$1.70
BEHR AERO-B41,4, 0.73 ,$6.01
BEHR PRO + SEALER-B42,4, 0.54 ,$1.21
ZINSSER PRO-B53,4, 0.88 ,$4.21
ZINSSER SEALER-B54,4, 0.85 ,$1.17
ZINSSER PREMIUM-B61,4, 0.21 ,$3.65
GILDEN PREMIUM-B64,4, 0.11 ,$4.60
KILZ-B65,4, 0.78 ,$5.30
KILZ2-B66,4, 0.63 ,$2.84
ZINSSER-B67,4, 0.65 ,$6.42
GLIDEN-B69,4, 0.75 ,$2.14
GLIDEN PRO-B70,4, 0.61 ,$3.14
KILZ PRO-B72,4, 0.44 ,$2.16
KILZ AERO-B74,4, 0.48 ,$3.51
GLIDEN PRO + SEALER-B76,4, 0.58 ,$3.11
KILZ PREMIUM-B79,4, 0.57 ,$6.84
BEHR-B80N,4, 0.12 ,$8.94
BEHR PRO-B81,4, 0.74 ,$1.60
BEHR AERO-B82,4, 0.21 ,$5.15
BEHR PRO + SEALER-B86HD,4, 0.19 ,$5.79
ZINSSER PRO-B86HY,4, 0.01 ,$4.29
KILZ-163TL,3, 0.45 ,$1.61
KILZ2-166TL,3, 0.62 ,$1.71
ZINSSER-182TLD,3, 0.37 ,$1.45
GLIDEN-184TL,3, 0.41 ,$6.98
GLIDEN PRO-186L,3, 0.82 ,$1.85
KILZ PRO-192LT,3, 0.20 ,$4.64
KILZ AERO-206TL,3, 0.83 ,$2.49
GLIDEN PRO + SEALER-207TL,3, 0.75 ,$1.48
KILZ PREMIUM-234TL,3, 0.74 ,$3.34
BEHR-258TL,3, 0.71 ,$2.53
BEHR PRO-268TL,3, 0.13 ,$3.45
BEHR AERO-269LC,3, 0.32 ,$1.52
BEHR PRO + SEALER-327TL,3, 0.01 ,$5.22
ZINSSER PRO-69TL,3, 0.48 ,$3.37
ZINSSER SEALER-82C,3, 0.19 ,$4.06
ZINSSER PREMIUM-86L,3, 0.33 ,$4.71
GILDEN PREMIUM-86LTORG,3, 0.05 ,$1.46
KILZ-86TL,3, 0.47 ,$4.73
KILZ2-B115,3, 0.59 ,$1.46
ZINSSER-B126F,3, 0.44 ,$4.94
GLIDEN-B127,3, 0.20 ,$6.07
GLIDEN PRO-B128,3, 0.46 ,$6.53
KILZ PRO-B129,3, 0.42 ,$2.53
KILZ AERO-B131,3, 0.45 ,$5.89
GLIDEN PRO + SEALER-B29,3, 0.51 ,$1.59
KILZ PREMIUM-B37,3, 0.11 ,$2.94
BEHR-B39,3, 0.42 ,$2.55
BEHR PRO-B40,3, 0.30 ,$2.46
BEHR AERO-B41,3, 0.65 ,$5.09
BEHR PRO + SEALER-B42,3, 0.10 ,$1.22
ZINSSER PRO-B53,3, 0.68 ,$3.95
ZINSSER SEALER-B54,3, 0.40 ,$6.28
ZINSSER PREMIUM-B61,3, 0.42 ,$3.10
GILDEN PREMIUM-B64,3, 0.56 ,$3.35
KILZ-B65,3, 0.63 ,$5.34
KILZ2-B66,3, 0.14 ,$5.77
ZINSSER-B67,3, 0.89 ,$6.12
GLIDEN-B69,3, 0.41 ,$3.64
GLIDEN PRO-B70,3, 0.11 ,$2.11
KILZ PRO-B72,3, 0.90 ,$4.95
KILZ AERO-B74,3, 0.28 ,$1.61
GLIDEN PRO + SEALER-B76,3, 0.01 ,$2.20
KILZ PREMIUM-B79,3, 0.54 ,$5.02
BEHR-B80N,3, 0.37 ,$7.71
BEHR PRO-B81,3, 0.71 ,$1.42
BEHR AERO-B82,3, 0.39 ,$4.67
BEHR PRO + SEALER-B86HD,3, 0.60 ,$4.91
ZINSSER PRO-B86HY,3, 0.25 ,$2.06
KILZ-163TL,2, 0.03 ,$5.65
KILZ2-166TL,2, 0.48 ,$1.25
ZINSSER-182TLD,2, 0.84 ,$4.04
GLIDEN-184TL,2, 0.21 ,$1.33
GLIDEN PRO-186L,2, 0.27 ,$5.10
KILZ PRO-192LT,2, 0.04 ,$3.78
KILZ AERO-206TL,2, 0.19 ,$3.80
GLIDEN PRO + SEALER-207TL,2, 0.49 ,$3.32
KILZ PREMIUM-234TL,2, 0.13 ,$2.56
BEHR-258TL,2, 0.31 ,$6.07
BEHR PRO-268TL,2, 0.50 ,$4.18
BEHR AERO-269LC,2, 0.84 ,$6.28
BEHR PRO + SEALER-327TL,2, 0.26 ,$1.81
ZINSSER PRO-69TL,2, 0.11 ,$2.61
ZINSSER SEALER-82C,2, 0.47 ,$2.83
ZINSSER PREMIUM-86L,2, 0.73 ,$4.48
GILDEN PREMIUM-86LTORG,2, 0.09 ,$3.84
KILZ-86TL,2, 0.51 ,$3.05
KILZ2-B115,2, 0.39 ,$2.38
ZINSSER-B126F,2, 0.82 ,$4.77
GLIDEN-B127,2, 0.64 ,$3.76
GLIDEN PRO-B128,2, 0.14 ,$5.10
KILZ PRO-B129,2, 0.63 ,$3.51
KILZ AERO-B131,2, 0.18 ,$2.14
GLIDEN PRO + SEALER-B29,2, 0.73 ,$3.28
KILZ PREMIUM-B37,2, 0.33 ,$3.74
BEHR-B39,2, 0.73 ,$2.27
BEHR PRO-B40,2, 0.11 ,$7.57
BEHR AERO-B41,2, 0.28 ,$2.74
BEHR PRO + SEALER-B42,2, 0.70 ,$2.84
ZINSSER PRO-B53,2, 0.47 ,$1.99
ZINSSER SEALER-B54,2, 0.24 ,$1.02
ZINSSER PREMIUM-B61,2, 0.73 ,$2.27
GILDEN PREMIUM-B64,2, 0.79 ,$1.61
KILZ-B65,2, 0.30 ,$2.60
KILZ2-B66,2, 0.60 ,$3.40
ZINSSER-B67,2, 0.30 ,$6.80
GLIDEN-B69,2, 0.40 ,$2.42
GLIDEN PRO-B70,2, 0.18 ,$2.63
KILZ PRO-B72,2, 0.50 ,$1.25
KILZ AERO-B74,2, 0.04 ,$1.83
